Lemma,Case,Number,Gender,Degree,Upos,Inflection,Forms
Sockel,Dat,Plur,,,NOUN,,Sockel:1 | Sockeln:1
Soldat,Acc,Plur,,,NOUN,,Soldaten:9 | Soldante:1
Sonderangebot,Dat,Sing,Neut,,NOUN,,Sonderangebot:5 | Sonderangebote:1
Sonntag,Dat,Sing,Masc,,NOUN,,Sonntag:212 | SONNTAG:1
Spam,Acc,Sing,Neut,,NOUN,,Spam:8 | SPAM:2
Spaß,Acc,Sing,Masc,,NOUN,,Spaß:17 | Spass:6 | Spielspaß:1
Spezialist,Acc,Sing,Masc,,NOUN,,Spezialisten:15 | Spezialist:1
Spiegel,Dat,Sing,Masc,,NOUN,,Spiegel:41 | SPIEGEL:3
Spiel,Dat,Sing,Neut,,NOUN,,Spiel:63 | Spiele:4
Spielfilm,Dat,Sing,Masc,,NOUN,,Spielfilme:2 | Spielfilm:1
Spitzengespräch,Dat,Sing,Neut,,NOUN,,Spitzengespräch:3 | Spitzengespräche:1
Spot,Dat,Sing,Masc,,NOUN,,Spot:3 | Spots:1
Spur,Acc,,,,NOUN,,Spur:1 | Spuren:1
Staat,Dat,Sing,Masc,,NOUN,,Staat:47 | Staate:2
Staat,Acc,Sing,Masc,,NOUN,,Staat:30 | Staats:1
Staffel,Acc,Plur,,,NOUN,,Staffel:2 | Staffeln:2
Stand,Dat,Sing,Masc,,NOUN,,Stand:203 | Stande:58
Standard-Protokoll,Dat,Sing,Neut,,NOUN,,Standard-Protokoll:1 | Standard-Protokolle:1
Standardisierungsprozeß,Acc,Sing,Masc,,NOUN,,Standardisierungsprozess:2 | Standardisierungsprozeß:1
Standort,Acc,Sing,Masc,,NOUN,,Standort:28 | Standorten:1
Startschuß,Dat,Sing,Masc,,NOUN,,Startschuss:5 | Startschuß:1
Station,Dat,Sing,Fem,,PROPN,,ScoopStation:1 | Station:1
Stein,Dat,Sing,Masc,,NOUN,,Stein:6 | Steine:1
Stelle,Acc,,,,NOUN,,Stelle:1 | Stellen:1
Stichwort,Dat,Sing,Neut,,NOUN,,Stichwort:15 | Stichworte:1
Stichwort,Dat,Plur,,,NOUN,,Stichworten:2 | Stichwörtern:1
Stil,Dat,Sing,Masc,,NOUN,,Stil:58 | Stile:3
Stoß,Acc,Sing,Masc,,NOUN,,Stoß:1 | Stromstoß:1
Strafprozeß,Dat,Sing,Masc,,NOUN,,Strafprozess:1 | Strafprozeß:1
Strafprozeß,Acc,Sing,Masc,,NOUN,,Strafprozess:1 | Strafprozeß:1
Straße,Dat,Sing,Fem,,NOUN,,Straße:30 | Straßen:1
Straße,Acc,Sing,Fem,,NOUN,,Straße:9 | Strasse:1
Stress,Dat,Sing,Masc,,NOUN,,Stress:2 | Streß:1
Stromausfall,Dat,Plur,,,NOUN,,Stromausfällen:5 | Stromausfälle:1
Studierend,Acc,Plur,,,NOUN,,Studierenden:2 | Studierende:1
Stück,Dat,Sing,Neut,,NOUN,,Stück:18 | Stücke:1
Stück,Dat,Plur,,,NOUN,,Stück:67 | Stücken:11
Stück,Acc,Plur,,,NOUN,,Stücke:23 | Stück:20
Synergieeffekt,Dat,Sing,Masc,,NOUN,,Synergieeffekt:1 | Synergieeffekte:1
System,Dat,Sing,Neut,,NOUN,,System:150 | Systeme:5
System,Dat,Plur,,,NOUN,,Systemen:132 | Systeme:2
System,Acc,,,,NOUN,,System:3 | Systeme:2
System,Dat,,,,NOUN,,System:2 | Systemen:1
T-DSL-Anschluß,Dat,Sing,Masc,,NOUN,,T-DSL-Anschluss:2 | T-DSL-Anschluß:1
TV,Dat,Plur,,,NOUN,,TV:2 | TVs:2 | TV's:1
TV-Gerät,Dat,Sing,Neut,,NOUN,,TV-Gerät:4 | TV-Geräte:1
TV-Kabelnetz,Dat,Sing,Neut,,NOUN,,TV-Kabelnetz:9 | TV-Kabelnetze:2
Tag,Acc,Plur,,,NOUN,,Tage:143 | Tags:2
Tag,Dat,Plur,,,NOUN,,Tagen:721 | Tage:4 | Tag:1
Tag,Dat,Sing,Masc,,NOUN,,Tag:315 | Tage:16
Taiwan-Dollar,Acc,Plur,,,NOUN,,Taiwan-Dollar:1 | Taiwan-Dollars:1
Taiwan-Dollar,Dat,Plur,,,NOUN,,Taiwan-Dollar:3 | Taiwan-Dollars:2
Talent,Acc,,,,NOUN,,Talent:5 | Talente:1
Tarif,Dat,Sing,Masc,,NOUN,,Tarif:38 | Tarife:1
Taschencomputer,Dat,Plur,,,NOUN,,Taschencomputern:2 | Taschencomputer:1
Techniker,Dat,Plur,,,NOUN,,Technikern:7 | Techniker:1
Teil,Dat,Sing,,,NOUN,,Teil:165 | Teile:1
Teil,Acc,,,,NOUN,,Teil:1 | Teile:1
Teilbereich,Dat,Plur,,,NOUN,,Teilbereichen:4 | Teilbereiche:1
Teilnehmeranschluß,Dat,Plur,,,NOUN,,Teilnehmeranschlüssen:3 | Teilnehmeranschlüsse:1
Telefonanschluß,Dat,Sing,Masc,,NOUN,,Telefonanschluss:8 | Telefonanschluß:3
Telefonanschluß,Acc,Sing,Masc,,NOUN,,Telefonanschluss:15 | Telefonanschluß:2
Telefongespräch,Dat,Sing,Neut,,NOUN,,Telefongespräch:1 | Telefongespräche:1
Telefonica-Präsident,Dat,Sing,Masc,,NOUN,,Telefonica-Präsident:1 | Telefonica-Präsidenten:1
Telefonnetz,Dat,Sing,Neut,,NOUN,,Telefonnetz:23 | Telefonnetze:1
Telekom-Konkurrent,Dat,Sing,Masc,,NOUN,,Telekom-Konkurrenten:3 | Telekom-Konkurrent:1
Telepolis-Korrespondent,Dat,Sing,Masc,,NOUN,,Telepolis-Korrespondent:1 | Telepolis-Korrespondenten:1
Tendenz,Dat,,,,NOUN,,Tendenz:4 | Tendenzen:1
Terabyte,Acc,Plur,,,NOUN,,Terabyte:3 | Terabytes:1
Termin,Dat,Sing,Masc,,NOUN,,Termin:36 | Termine:2
Termin,Acc,Sing,Fem,,NOUN,,Termin:2 | Termine:2
Termingeschäft,Dat,Plur,,,NOUN,,Termingeschäfte:1 | Termingeschäften:1
Testlauf,Dat,Plur,,,NOUN,,Testläufen:2 | Testläufe:1
Text,Dat,Plur,,,NOUN,,Texten:23 | Text:1 | Texte:1
Text,Acc,Sing,Masc,,NOUN,,Text:43 | Teletext:2
Text,Dat,Sing,Masc,,NOUN,,Text:40 | Teletext:1 | Texte:1
Theorie,Acc,,,,NOUN,,Theorie:3 | Theorien:1
Tiefe,Acc,Plur,,,NOUN,,Tiefe:1 | Tiefen:1
Tier,Acc,Plur,,,NOUN,,Tiere:6 | Tier:1
Tier,Dat,Sing,Neut,,NOUN,,Tier:3 | Tiere:1
Tip,Acc,Plur,,,NOUN,,Tips:3 | Tipps:1
Tochter,Acc,Plur,,,NOUN,,Töchter:10 | Töchtern:1
Tod,Dat,Sing,Masc,,NOUN,,Tod:51 | Tode:18
Ton,Acc,,,,NOUN,,Ton:2 | Töne:2
Tor,Dat,Sing,Neut,,PROPN,,AppleStore:6 | Tor:2
Tote,Acc,Plur,,,NOUN,,Tote:1 | Toten:1
Trainer,Dat,Plur,,,NOUN,,Trainern:2 | Trainer:1
Tritt,Acc,Plur,,,NOUN,,Tritt:1 | Tritte:1
Tschechoslowakei,Acc,Sing,Fem,,PROPN,,Tschechoslowakai:1 | Tschechoslowakei:1
Turnier,Dat,Plur,,,NOUN,,Turnieren:6 | Turniere:1
Typ,Acc,Sing,Masc,,NOUN,,Typ:6 | Typen:1
UMTS-Netz,Dat,Sing,Neut,,NOUN,,UMTS-Netz:5 | UMTS-Netze:1
US-Armee,Acc,Sing,Fem,,NOUN,,US-Armee:1 | US-Army:1
US-Börsenschluss,Dat,Sing,Masc,,NOUN,,US-Börsenschluss:13 | US-Börsenschluß:3
US-Cent,Acc,Plur,,,NOUN,,US-Cent:1 | US-Cents:1
US-Cent,Dat,Plur,,,NOUN,,US-Cents:5 | US-Cent:1
US-Kongreß,Dat,Sing,Masc,,NOUN,,US-Kongress:10 | US-Kongreß:1
US-Kongreß,Acc,Sing,Masc,,NOUN,,US-Kongress:3 | US-Kongreß:1
US-Magazin,Dat,Sing,Neut,,NOUN,,US-Magazin:4 | US-Magazine:2
US-Präsident,Dat,Sing,Masc,,NOUN,,US-Präsident:6 | US-Präsidenten:3
USB-Anschluß,Acc,Sing,Masc,,NOUN,,USB-Anschluss:7 | USB-Anschluß:3
USB-Anschluß,Dat,Sing,Masc,,NOUN,,USB-Anschluss:7 | USB-Anschluß:6
Umfang,Dat,Sing,Masc,,NOUN,,Umfang:96 | Umfange:2
Umsatz,Dat,Plur,,,NOUN,,Umsätzen:74 | Umsätze:1
Umsatzrückgang,Dat,Plur,,,NOUN,,Umsatzrückgängen:5 | Umsatzrückgänge:1
Universitätsabschluß,Acc,Sing,Masc,,NOUN,,Universitätsabschluss:2 | Universitätsabschluß:1
Unternehmensportal,Dat,Sing,Neut,,NOUN,,Unternehmensportal:1 | Unternehmensportale:1
Ursprung,Dat,,,,NOUN,,Ursprung:1 | Ursprunge:1
Veranstalter,Acc,Plur,,,NOUN,,Veranstalter:4 | VERANSTALTER:1
Verantwortlich,Acc,Plur,,,NOUN,,Verantwortlichen:9 | Verantwortliche:1
Verband,Dat,Plur,,,NOUN,,Verbänden:21 | Verbraucherverbänden:4 | Verbraucherschutzverbänden:1
Verbot,Dat,Plur,,,NOUN,,Verboten:3 | Vereinsverboten:1
Verbot,Acc,Sing,Neut,,NOUN,,Verbot:58 | Versandverbot:1 | Verschlüsselungsverbot:1
Verbot,Dat,Sing,Neut,,NOUN,,Verbot:22 | Verbote:1 | Verkaufsverbot:1
Verdächtig,Acc,Plur,,,NOUN,,Verdächtige:2 | Verdächtigen:1
Verdächtige,Acc,Plur,,,NOUN,,Verdächtige:3 | Verdächtigen:1
Verein,Dat,Sing,Masc,,NOUN,,Verein:34 | Verbraucherschutzverein:3 | Verbraucherverein:1 | Vereine:1
Verein,Acc,Sing,Masc,,NOUN,,Verein:18 | Verbraucherschutzverein:2
Verhältnis,Dat,Sing,Neut,,NOUN,,Verhältnis:52 | Verhältnissen:1
Verhältnis,Dat,Plur,,,NOUN,,Verhältnissen:7 | Verhältnisse:1
Verhältnis,Dat,,,,NOUN,,Verhältnisse:2 | Verhältnissen:2
Verkettung,Acc,,,,NOUN,,Verkettung:1 | Verkettungen:1
Verkäufer,Dat,Plur,,,NOUN,,Verkäufern:6 | Verkäufer:1
Verlag,Acc,Sing,Masc,,NOUN,,Verlag:16 | Verlagen:1
Verlag,Dat,Plur,,,NOUN,,Verlagen:20 | Verlage:1
Verlauf,Dat,Sing,Masc,,NOUN,,Verlauf:104 | Verlaufe:6
Verlust,Dat,Sing,Masc,,NOUN,,Verlust:110 | Verluste:3
Vermischung,Dat,,,,NOUN,,Vermischung:1 | Vermischungen:1
Vermittlungsausschuß,Acc,Sing,Masc,,NOUN,,Vermittlungsausschuß:2 | Vermittlungsausschuss:1
Verschluß,Dat,Sing,Masc,,NOUN,,Verschluss:9 | Verschluß:2
Version,Dat,Plur,,,NOUN,,Versionen:113 | Version:1
Verstoß,Acc,Plur,,,NOUN,,Verstöße:11 | Verstösse:1
Verstoß,Acc,Sing,Masc,,NOUN,,Verstoß:20 | Verstoss:1
Verstoß,Dat,Plur,,,NOUN,,Verstößen:19 | Verstössen:1
Versuch,Dat,Sing,Masc,,NOUN,,Versuch:81 | Versteigerugsversuch:1
Verteilnetz,Dat,Sing,Neut,,NOUN,,Verteilnetz:1 | Verteilnetze:1
Vertragsabschluß,Dat,Sing,Masc,,NOUN,,Vertragsabschluss:20 | Vertragsabschluß:2
Vertriebskanal,Dat,Plur,,,NOUN,,Vertriebskanälen:3 | Vertriebskanäle:1
Verwandte,Acc,Plur,,,NOUN,,Verwandte:1 | Verwandten:1
Verweis,Dat,Sing,Masc,,NOUN,,Verweis:19 | Verweise:1
Vetorecht,Dat,Sing,Neut,,NOUN,,Vetorecht:1 | Vetorechte:1
Viertel,Dat,Plur,,,NOUN,,Vierteln:6 | Viertel:1
Virus,Dat,Sing,Neut,,NOUN,,Virus:15 | Viren:1
Visum,Dat,Sing,Neut,,NOUN,,Visa:1 | Visum:1
Vizepräsident,Acc,Sing,Masc,,NOUN,,Vizepräsidenten:2 | Vizepräsident:1
Volk,Dat,Sing,Neut,,NOUN,,Volk:11 | Volke:2
Vorbehalt,Dat,Sing,Masc,,NOUN,,Vorbehalt:20 | Vorbehalte:1
Vorgespräch,Dat,Sing,Neut,,NOUN,,Vorgespräch:1 | Vorgespräche:1
Vorsitz,Dat,Sing,Masc,,NOUN,,Vorsitz:10 | Vorstandsvorsitz:1
Vorsitz,Acc,Sing,Masc,,NOUN,,Vorsitz:11 | Vorstandsvorsitz:6
Vorsitzend,Dat,Sing,,,NOUN,,Vorsitzenden:5 | Vorsitzendem:1
Vorsitzende,Dat,Sing,Masc,,NOUN,,Vorsitzenden:3 | Vorsitzender:1
Vorstandsvorsitzend,Dat,Sing,,,NOUN,,Vorstandsvorsitzenden:3 | Vorstandsvorsitzendem:1
Vorstandsvorsitzend,Dat,Sing,Masc,,NOUN,,Vorstandsvorsitzenden:7 | Vorstandsvorsitzendem:1
Vorstellung,Acc,,,,NOUN,,Vorstellung:1 | Vorstellungen:1
Vorstoß,Dat,Sing,Masc,,NOUN,,Vorstoß:9 | Vorstoss:2
Vortag,Dat,Sing,Masc,,NOUN,,Vortag:37 | Vortage:1
Vorteil,Dat,Sing,Masc,,NOUN,,Vorteil:23 | Vorteile:1
WAP-Gerät,Dat,Sing,Neut,,NOUN,,WAP-Gerät:1 | WAP-Geräte:1
Wahlschein,Dat,Sing,Masc,,NOUN,,Wahlschein:1 | Wahlscheine:1
Wald,Dat,Sing,Masc,,NOUN,,Wald:14 | Walde:2
Website,Dat,Sing,Fem,,NOUN,,Website:291 | WebSite:1
Weg,Dat,Sing,Masc,,NOUN,,Weg:214 | Wege:112
Weg,Dat,Sing,Masc,,PROPN,,Weg:2 | Wege:1
Weg,Dat,,,,NOUN,,Wege:3 | Weg:2
Wein,Dat,Sing,Masc,,NOUN,,Wein:1 | Weine:1
Weiß,Dat,Sing,Neut,,NOUN,,Weiß:4 | Weiss:1 | Weiße:1
Welt,Dat,Sing,Fem,,NOUN,,Welt:312 | WELT:1
Welt,Acc,,,,NOUN,,Welt:9 | Welten:1
Welt,Dat,,,,NOUN,,Welt:4 | Welten:1
Weltgegend,Dat,,,,NOUN,,Weltgegend:1 | Weltgegenden:1
Weltkongreß,Dat,Sing,Masc,,NOUN,,Weltkongress:2 | Weltkongreß:1
Wende,Dat,Sing,Fem,,PROPN,,Wende:1 | Wenden:1
Werden,Dat,,,,NOUN,,Werden:1 | Würde:1
Werk,Dat,Sing,Neut,,NOUN,,Werk:81 | Werke:12
Werk,Acc,,,,NOUN,,Werke:4 | Werk:2
Werk,Dat,,,,NOUN,,Werk:1 | Werke:1 | Werken:1
Werkstoff,Dat,Sing,Masc,,NOUN,,Werkstoff:1 | Werkstoffe:1
Wert,Dat,Sing,Masc,,NOUN,,Wert:237 | Werte:6
Wertpapier,Dat,Sing,Neut,,NOUN,,Wertpapier:3 | Wertpapiere:1
Widerspruch,Acc,,,,NOUN,,Widersprüche:2 | Widerspruch:1
Wilhelm,Dat,Sing,Fem,,PROPN,,Wilhelm:1 | Wilhelms:1
William,Dat,Sing,Masc,,PROPN,,William:4 | Williams:1
Wind,Dat,Sing,Masc,,NOUN,,Wind:6 | Winde:1
Windows-Betriebssystem,Dat,Sing,Neut,,NOUN,,Windows-Betriebssysteme:2 | Windows-Betriebssystem:1
Wirkstoff,Dat,Sing,Masc,,NOUN,,Wirkstoff:1 | Wirkstoffe:1
Wirtschaftjournalist,Dat,Sing,Masc,,NOUN,,Wirtschaftjournalist:1 | Wirtschaftjournalisten:1
Wirtschaftsausschuß,Dat,Sing,Masc,,NOUN,,Wirtschaftsausschuss:3 | Wirtschaftsausschuß:1
Wissenschaft,Acc,,,,NOUN,,Wissenschaft:3 | Wissenschaften:3
Wissenschaftler,Dat,Plur,,,NOUN,,Wissenschaftlern:57 | Wissenschaftler:1
Wohl,Dat,Sing,Neut,,NOUN,,Wohl:3 | Wohle:3
Wort,Dat,Sing,Neut,,NOUN,,Wort:79 | Worte:2
Wort,Acc,Plur,,,NOUN,,Worte:19 | Wörter:4
Wort,Dat,Plur,,,NOUN,,Worten:222 | Wörtern:13
Wort,Acc,,,,NOUN,,Wort:5 | Worte:2
Wort,Dat,,,,NOUN,,Worten:5 | Wort:2 | Worte:1
Zahn,Acc,Sing,Masc,,NOUN,,Zahn:9 | Zähnen:1
Zaun,Dat,Sing,Masc,,NOUN,,Zaun:4 | Zaune:1
Zehnfach,Acc,Sing,Neut,,NOUN,,Zehnfache:7 | Zehnfaches:1
Zeichentrickfilm,Dat,Sing,Masc,,NOUN,,Zeichentrickfilm:1 | Zeichentrickfilme:1
Zeit,Dat,,,,NOUN,,Zeit:6 | Zeiten:1
Zelt,Dat,Sing,Neut,,NOUN,,Zelt:1 | Zelte:1
Zentimeter,Dat,Plur,,,NOUN,,Zentimetern:18 | Zentimeter:4
Zentrum,Dat,Sing,Neut,,NOUN,,Zentrum:55 | Centrum:1 | Congresscentrum:1
Zeug,Dat,Sing,Neut,,NOUN,,Zeug:2 | Zeuge:1
Ziel,Dat,Sing,Neut,,NOUN,,Ziel:123 | Ziele:1
Ziel,Dat,,,,NOUN,,Ziel:1 | Ziele:1
Zoll,Acc,Plur,,,NOUN,,Zoll:2 | Zölle:2
Zoll,Dat,Plur,,,NOUN,,Zoll:25 | Zöllen:1
Zorn,Dat,Sing,Masc,,NOUN,,Zorn:2 | Zorne:1
Zufall,Acc,,,,NOUN,,Zufall:3 | Zufälle:1
Zug,Dat,Sing,Masc,,NOUN,,Zuge:227 | Zug:32
Zugriff,Dat,Plur,,,NOUN,,Zugriffen:14 | Zugriffe:1
Zunge,Acc,Sing,Fem,,NOUN,,Zunge:1 | Zungen:1
Zusammenschluß,Dat,Sing,Masc,,NOUN,,Zusammenschluss:52 | Zusammenschluß:10
Zusammenschluß,Acc,Sing,Masc,,NOUN,,Zusammenschluss:63 | Zusammenschluß:11
Zuschuß,Acc,Sing,Masc,,NOUN,,Zuschuss:2 | Zuschuß:1
Zustand,Dat,Sing,Masc,,NOUN,,Zustand:21 | Zustande:1
Zweck,Dat,Sing,Masc,,NOUN,,Zweck:87 | Zwecke:20
Zweck,Dat,,,,NOUN,,Zweck:2 | Zwecke:1 | Zwecken:1
Zähler,Dat,Plur,,,NOUN,,Zählern:7 | Zähler:1
abgeben,Acc,Plur,,Pos,ADJ,Weak,abgegebenen:2 | abzugebenden:1
ablaufen,Dat,Sing,Neut,Pos,ADJ,Weak,abgelaufenen:79 | ablaufenden:1
ablaufen,Dat,Sing,Neut,Pos,ADJ,Strong,abgelaufenem:1 | abgelaufenen:1 | ablaufenden:1
ablaufen,Acc,Sing,Neut,Pos,ADJ,Weak,abgelaufene:33 | ablaufende:2
abschließen,Dat,Sing,Masc,Pos,ADJ,Strong,abgeschlossenen:2 | abgeschlossen:1
abschließen,Acc,Sing,Fem,Pos,ADJ,Weak,abgeschlossene:3 | abschließende:3
abschließen,Dat,Plur,,Pos,ADJ,,abgeschlossenen:6 | abschließenden:3
abschließen,Acc,Sing,Masc,Pos,ADJ,Weak,abgeschlossenen:3 | abzuschließenden:1
abschließen,Dat,Sing,Neut,Pos,ADJ,,abgeschlossenen:9 | abschließenden:4
abschließen,Dat,Sing,Fem,Pos,ADJ,Strong,abschließender:2 | abgeschlossenen:1
abschließen,Acc,Sing,Neut,Pos,ADJ,Weak,abgeschlossene:7 | abschließende:1
abschließen,Acc,Plur,,Pos,ADJ,Strong,abgeschlossene:1 | abzuschließende:1
abschließen,Acc,Plur,,Pos,ADJ,Weak,abgeschlossenen:1 | abschließenden:1
absehbar,Dat,Sing,Fem,Pos,ADJ,Strong,absehbarer:42 | absehbaren:2
abwarten,Dat,Sing,Fem,Pos,ADJ,Strong,abwartenden:1 | abwartender:1
aggressiv,Dat,Sing,Fem,Pos,ADJ,Strong,aggressiven:4 | aggressiver:1
aktuell,Acc,Plur,,Pos,ADJ,Strong,aktuelle:25 | aktuellen:4
aktuell,Dat,Sing,Neut,Pos,ADJ,Strong,aktuellen:3 | aktuellem:2
aktuell,Dat,Sing,Fem,Pos,ADJ,Strong,aktuellen:35 | aktueller:8
aktuell,Dat,Sing,Masc,Pos,ADJ,,aktuellen:53 | aktuellem:10
akustisch,Acc,Plur,,Pos,ADJ,Strong,akustische:1 | akustischen:1
alle,Dat,Plur,,,DET,,allen:930 | alle:4 | aller:4
alle,Dat,,,,DET,,allem:5 | allen:4 | all:1
alle,Acc,,,,DET,,alles:23 | alle:3
alledem,Dat,Sing,Neut,,PRON,,alldem:2 | alledem:2
allgemein,Acc,Plur,,Pos,ADJ,Strong,allgemeine:6 | allgemeinen:4
allgemein,Acc,Sing,Neut,Pos,ADJ,Weak,allgemeine:3 | allgemeinen:1
alt,Acc,Plur,,Pos,ADJ,Strong,alte:15 | alten:3
alt,Dat,Sing,Masc,Pos,ADJ,Strong,alten:3 | altem:2
alt,Dat,Sing,Neut,Pos,ADJ,Strong,alten:5 | altem:1
alt,Acc,Plur,,Cmp,ADJ,,ältere:17 | älteren:9
alt,Dat,Sing,Fem,Pos,ADJ,Weak,alten:29 | neu-alten:1
alt,Dat,Sing,Fem,Pos,ADJ,Strong,alter:8 | alten:7
alt,Dat,Sing,Fem,Cmp,ADJ,Strong,älterer:5 | älteren:2
alt,Dat,Sing,Neut,,PROPN,,altem:1 | alten:1
alternativ,Acc,Sing,Neut,Pos,ADJ,Strong,alternatives:4 | alternativ:1
alternativ,Acc,Plur,,Pos,ADJ,Strong,alternative:9 | alternativen:1
alternativ,Dat,Sing,Masc,Pos,ADJ,Strong,alternativen:2 | alternativem:1
amerikanisch,Dat,Sing,Masc,Pos,ADJ,Strong,amerikanischen:7 | amerikanischem:2 | us-amerikanischem:2 | us-amerikanischen:1
amerikanisch,Dat,Sing,Masc,Pos,ADJ,Weak,amerikanischen:107 | us-amerikanischen:22 | deutsch-amerikanischen:3 | anglo-amerikanischen:1 | chinesisch-amerikanischen:1 | europäisch-amerikanischen:1
amerikanisch,Acc,Sing,Fem,Pos,ADJ,Weak,amerikanische:48 | us-amerikanische:5 | amerikanischen:1
amerikanisch,Acc,Sing,Fem,Pos,ADJ,Strong,amerikanische:3 | us-amerikanische:3
amerikanisch,Dat,Plur,,Pos,ADJ,Strong,amerikanischen:101 | us-amerikanischen:12 | amerikanische:1 | latein-amerikanischen:1 | nicht-us-amerikanischen:1
amerikanisch,Dat,Plur,,Pos,ADJ,Weak,amerikanischen:36 | us-amerikanischen:9 | deutsch-amerikanischen:1 | nicht-amerikanischen:1
amerikanisch,Dat,Plur,,Pos,ADJ,,amerikanischen:7 | us-amerikanischen:2
amerikanisch,Dat,Sing,Fem,Pos,ADJ,Weak,amerikanischen:85 | us-amerikanischen:22 | amerikanische:1 | israelisch-amerikanischen:1
amerikanisch,Dat,Sing,Fem,Pos,ADJ,Strong,amerikanischen:11 | amerikanischer:8 | us-amerikanischen:2 | latein-amerikanischen:1 | us-amerikanischer:1
amerikanisch,Acc,Plur,,Pos,ADJ,Weak,amerikanischen:30 | us-amerikanischen:5
amerikanisch,Acc,Plur,,Pos,ADJ,Strong,amerikanische:33 | us-amerikanische:4 | amerikanischen:2 | nicht-amerikanische:1 | us-amerikanischen:1
amerikanisch,Acc,Sing,Masc,Pos,ADJ,Weak,amerikanischen:45 | us-amerikanischen:10 | britisch-amerikanischen:1
amerikanisch,Acc,Sing,Masc,Pos,ADJ,Strong,amerikanischen:13 | us-amerikanischen:2 | nicht-amerikanischen:1
amerikanisch,Dat,Sing,Neut,Pos,ADJ,Weak,amerikanischen:37 | us-amerikanischen:12 | spanisch-amerikanischen:1
amerikanisch,Dat,Sing,Neut,Pos,ADJ,Strong,amerikanischen:11 | amerikanischem:8 | us-amerikanischem:4 | us-amerikanischen:1
amerikanisch,Acc,Sing,Neut,Pos,ADJ,Weak,amerikanische:24 | us-amerikanische:4 | anglo-amerikanische:1 | britisch-amerikanisches:1
amerikanisch,Acc,Sing,Neut,Pos,ADJ,Strong,amerikanisches:7 | amerikanische:1 | nicht-us-amerikanisches:1
amtlich,Dat,Sing,Fem,Pos,ADJ,Strong,amtlichen:1 | eu-amtlichen:1
analog,Dat,Sing,Masc,Pos,ADJ,Strong,analogem:3 | analogen:1
anderer,Acc,Plur,,,DET,,andere:47 | anderen:17
anderer,Dat,Sing,Fem,,DET,,anderen:20 | anderer:4
anderer,Dat,Plur,,,DET,,anderen:1138 | andere:3 | andern:2
anderer,Acc,Sing,Neut,,DET,,anderes:38 | andere:18
anderer,Dat,Sing,Masc,,DET,,anderem:358 | anderen:16
anderer,Dat,Sing,Neut,,DET,,anderem:1114 | anderen:140
anderer,Dat,Sing,,,DET,,anderem:27 | anderen:9
anderer,Acc,,,,DET,,andre:5 | andern:2 | andere:1
anderer,Dat,,,,DET,,andern:1 | andre:1
anfallen,Acc,Plur,,Pos,ADJ,Weak,angefallenen:3 | anfallenden:2
anfallen,Acc,Plur,,Pos,ADJ,Strong,anfallende:1 | anfallenden:1 | angefallene:1
anfallen,Acc,Sing,Fem,Pos,ADJ,Weak,anfallende:1 | angefallene:1
anfänglich,Dat,Sing,Neut,Pos,ADJ,Strong,anfänglichem:1 | anfänglichen:1
anfänglich,Dat,Sing,Fem,Pos,ADJ,Strong,anfänglicher:2 | anfänglichen:1
angeben,Acc,Plur,,Pos,ADJ,Weak,angegebenen:4 | angegebene:1
angeblich,Dat,Sing,Fem,Pos,ADJ,Strong,angeblichen:2 | angeblicher:1
angenehm,Dat,Sing,Fem,Pos,ADJ,Strong,angenehmen:2 | angenehmer:1
angestammt,Acc,Plur,,Pos,ADJ,Strong,angestammte:1 | angestammten:1
anlaufen,Dat,Sing,Fem,Pos,ADJ,Weak,angelaufenen:1 | anlaufenden:1
anlegen,Acc,Plur,,Pos,ADJ,Strong,angelegte:2 | angelegten:1
anmessen,Dat,Sing,Fem,Pos,ADJ,Strong,angemessener:6 | angemessenen:3
annehmen,Dat,Sing,Masc,Pos,ADJ,Weak,angenommenen:2 | anzunehmenden:1
anonym,Acc,Plur,,Pos,ADJ,Strong,anonyme:4 | anonymen:1
anonym,Dat,Sing,Fem,Pos,ADJ,Strong,anonymen:2 | anonymer:2
anpassen,Dat,Plur,,Pos,ADJ,Strong,angepaßten:2 | angepassten:1
anpassen,Acc,Plur,,Pos,ADJ,Strong,angepasste:2 | angepaßte:1
anpassen,Acc,Sing,Fem,Pos,ADJ,Strong,angepasste:5 | angepaßte:1
anpassen,Dat,Sing,Fem,Pos,ADJ,Strong,angepassten:1 | angepaßten:1
anschlagen,Dat,Sing,Neut,Pos,ADJ,Weak,angeschlagenen:2 | angeschlagene:1
anschließen,Dat,Sing,Fem,Pos,ADJ,Weak,anschließenden:5 | anschließende:1
anschließen,Dat,Sing,Fem,Pos,ADJ,Strong,angeschlossener:1 | anschließender:1
anschließen,Dat,Plur,,Pos,ADJ,Weak,angeschlossenen:10 | anschließenden:1
anschließen,Dat,Sing,Neut,Pos,ADJ,Weak,angeschlossenen:2 | anschließenden:1
anschließen,Dat,Sing,Masc,Pos,ADJ,Strong,angeschlossenem:2 | anschließendem:1
anschließen,Acc,Plur,,Pos,ADJ,Strong,angeschlossene:1 | anschließende:1
ansprechen,Acc,Sing,Fem,Pos,ADJ,Strong,angesprochene:1 | ansprechende:1
anwenden,Acc,Sing,Fem,Pos,ADJ,Weak,angewandte:1 | angewendete:1
anwenden,Dat,Sing,Neut,Pos,ADJ,Weak,angewandten:1 | anzuwendenden:1
